card_url,image_url,В ЖК,Адрес,От метро,"Цена, ₽","Цена за м², ₽",Комнат,Этаж,Этажность,Площадь,description,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://vidnoye.cian.ru/sale/flat/304792583/,https://images.cdn-cian.ru/images/2370345143-4.jpg,ЖК «Южная Битца»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, пос. Битца, Южная Битца ЖК, 10",Транспортом,19216330.0,229038.0,3.0,22.0,22.0,83.9,"Максимальные скидки при 100% оплате.
Прямая продажа от застройщика! Семейный жилой район класса Комфорт Плюс
Продаётся 3-к квартира номер 429 общей площадью 83.9 кв.м. на 22-м этаже 22 этажного дома. Чистовая отделка.

Особенности:
- Квартира доступна к покупке в Trade-In.
- Распашная
- Гостевой санузел
- Большая кухня
- Ниша под шкаф
- Гардеробная
- Лоджия

Квартира с чистовой отделкой. Раскройте свою индивидуальность в создании своего уникального проекта, а трудоемкий ремонт мы возьмем на себя! Вы идете в ногу со временем и предпочитаете современные, универсальные дизайнерские решения? Или вы любитель строгой лаконичной классики? Тогда наши интерьеры придутся вам по душе! Выбирайте то, что ближе лично Вам и реализуйте свои задумки вместе с нами!

Расположение комплекса: 
Сочетание свободного перемещения по внутреннней территории без машин и ощущения абсолютной безопасности благодаря надежным ограждениям - вот что отличает ЖК Южная Битца. На территории комплекса созданы все условия как для активного образа жизни, так и для спокойного времяпрепровождения. Свободно перемещайтесь по внутренней территории в безбарьерной среде! 
Продуманное зонирование во дворах позволяет отделить тихие зоны для родителей со спящими младенцами и тех, кто хочет почитать на свежем воздухе, от шумных игровых зон. Игровые зоны учитывают возраст детей. Площадки для детей старшего возраста вынесены за пределы дворов. Ощущение уютного дома должно начинаться с подъезда. Мы постарались предусмотреть все нюансы, чтобы наши лифты отвечали самым строгим современным требованиям. А наличие кладовых позволит вам поддерживать идеальный порядок и уют в вашей квартире!

Транспортная доступность:
В 3 км от МКАД в нескольких минутах езды до трех станций метро: Аннино, Бульвар Дмитрия Донского, улица Старокочаловская и станции МЦД2 - жд Бутово. Открылся участок (10й) ЮВХ и вместе с ним съезд на МКАД от ЖК.

Внутренняя инфраструктура:
Для жителей жилого района ""Южная Битца"" доступна развитая инфраструктура близлежащих московских районов Чертаново, Южное, Бирюлёво Западное, Северное Бутово и Южное Бутово. Множество образовательных учреждений, объекты здравоохранения, торговые и развлекательные центры, кинотеатры, кафе, рестораны, парки.
 
Цены указаны с учетом скидки. Купить 3-комнатную квартиру рядом с метро Бульвар Дмитрия Донского.",,83.9,19.2,229.0
https://vidnoye.cian.ru/sale/flat/311058688/,https://images.cdn-cian.ru/images/kvartira-bobrovo-krymskaya-ulica-2346559560-4.jpg,ЖК «Восточное Бутово»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, Боброво пгт, улица Крымская, 5",Транспортом,12600000.0,148760.0,,,,,"Продается квартира в ЖК Восточное Бутово с ремонтом от застройщика ПИК. Ремонт сделан качественно. Вся мебель остается в квартире.
УДОБНОЕ РАСПОЛОЖЕНИЕ:
- 5 км от МКАД
- Выезд на М2 (Симферопольское шоссе)
- 10 минут на авто до станции МЦД 2 ""Бутово"" на общественном транспорте 20-25 мин до станций метро ""Ул. Старокачаловская""
- Свободные парковочные места всегда есть, также есть охраняемый паркинг
- В пешей доступности находятся парк, озеро
- открыты собственные школы и детские сады
- предусмотрено два пешеходных бульвара, один из которых уже доступен для прогулок
- две поликлиники
Один собственник, первичные документы, свободная продажа. Показ по предварительному звонку Продам 3-комнатную квартиру рядом с метро Бульвар Дмитрия Донского.",,nan,12.6,148.8
https://www.cian.ru/sale/flat/310971582/,https://images.cdn-cian.ru/images/2344368807-4.jpg,,"Москва, ЮЗАО, р-н Северное Бутово, м. Бульвар Дмитрия Донского, Старобитцевская улица, 11",Пешком,18900000.0,258904.0,3.0,10.0,14.0,73.0,"Продается 3-х комнатная квартира улучшенной планировки: три изолированные комнаты, просторный коридор, три лоджии, оборудованные кладовая и гардеробная. 
В квартире выполнен качественный ремонт с использованием дорогостоящих европейских материалов, с заменой всех коммуникаций, батарей, окон, установлен кондиционер и водяной фильтр. Кухня оборудована посудомоечной машиной.

Ухоженный подъезд, тамбур на 2 квартиры с железной дверью. 

Уютный благоустроенный двор, развитая инфраструктура обжитого района, детский сад и школа в шаговой доступности. Рядом ухоженный парк. 10 мин пешком до метро Бульвар Дмитрия Донского.

Удобный выезд на Варшавское шоссе и МКАД без пробок. 

Один взрослый собственник, более 3-х лет, выписка до сделки, продажа Свободная.

По желанию покупателя квартира продается со всей представленной на фото мебелью и техникой. Продается 3-комнатная квартира рядом с метро Бульвар Дмитрия Донского.",,73.0,18.9,258.9
https://vidnoye.cian.ru/sale/flat/304792699/,https://images.cdn-cian.ru/images/2370345468-4.jpg,ЖК «Южная Битца»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, пос. Битца, Южная Битца ЖК, 10",Транспортом,15436415.0,198412.0,3.0,17.0,22.0,77.8,"Максимальные скидки при 100% оплате.
Прямая продажа от застройщика! Семейный жилой район класса Комфорт Плюс
Продаётся 3-к квартира номер 228 общей площадью 77.8 кв.м. на 17-м этаже 22 этажного дома. Отделка Whitebox.

Особенности:
- Квартира доступна к покупке в Trade-In.
- Распашная
- Гостевой санузел
- Большая кухня
- Ниша под шкаф
- Лоджия

Квартира с предчистовой отделкой (White box). Вам не придётся заниматься черновыми трудоёмкими работами, а чистовую отделку и дизайн сделаете по своему вкусу.

Расположение комплекса: 
Сочетание свободного перемещения по внутреннней территории без машин и ощущения абсолютной безопасности благодаря надежным ограждениям - вот что отличает ЖК Южная Битца. На территории комплекса созданы все условия как для активного образа жизни, так и для спокойного времяпрепровождения. Свободно перемещайтесь по внутренней территории в безбарьерной среде! 
Продуманное зонирование во дворах позволяет отделить тихие зоны для родителей со спящими младенцами и тех, кто хочет почитать на свежем воздухе, от шумных игровых зон. Игровые зоны учитывают возраст детей. Площадки для детей старшего возраста вынесены за пределы дворов. Ощущение уютного дома должно начинаться с подъезда. Мы постарались предусмотреть все нюансы, чтобы наши лифты отвечали самым строгим современным требованиям. А наличие кладовых позволит вам поддерживать идеальный порядок и уют в вашей квартире!

Транспортная доступность:
В 3 км от МКАД в нескольких минутах езды до трех станций метро: Аннино, Бульвар Дмитрия Донского, улица Старокочаловская и станции МЦД2 - жд Бутово. Открылся участок (10й) ЮВХ и вместе с ним съезд на МКАД от ЖК.

Внутренняя инфраструктура:
Для жителей жилого района ""Южная Битца"" доступна развитая инфраструктура близлежащих московских районов Чертаново, Южное, Бирюлёво Западное, Северное Бутово и Южное Бутово. Множество образовательных учреждений, объекты здравоохранения, торговые и развлекательные центры, кинотеатры, кафе, рестораны, парки.
 
Цены указаны с учетом скидки. 3-комнатная квартира рядом с метро Бульвар Дмитрия Донского.",,77.8,15.4,198.4
https://vidnoye.cian.ru/sale/flat/311424436/,https://images.cdn-cian.ru/images/2354355106-4.jpg,ЖК «Бутово парк 2»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, Дрожжино пгт, шоссе Новое, 4к3",Транспортом,11299000.0,163280.0,,,,,"В продаже очень светлая, просторная 3-комнатая квартира с ремонтом от застройщика ПИК.

      Удачная планировка: окна квартиры выходят на две стороны, кухня 9 кв.м., три просторные комнаты 16,15 и 14 кв.м., раздельный санузел, гардеробная и лоджия с французским остеклением (в пол).

       При продаже остается кухонный гарнитур со всей встроенной бытовой техникой! 

       Большим плюсом является закрепленное  за собственником квартиры парковочное место, которое можно переуступить покупателю и просторная кладовая 3,2 кв.м ( продается по отдельному договору). Продам 3-комнатную квартиру Рядом с метро Бульвар Дмитрия Донского.",,nan,11.3,163.3
https://vidnoye.cian.ru/sale/flat/307874483/,https://images.cdn-cian.ru/images/kvartira-vidnoe-petrovskiy-proezd-2282228730-4.jpg,,"Московская область, Видное, м. Бульвар Дмитрия Донского, Петровский проезд, 27",Транспортом,6300000.0,108062.0,3.0,4.0,5.0,58.3,"В продаже трёхкомнатная квартира в тёплом кирпичном доме! 

В квартире частично выполнен косметический ремонт. Изолированные комнаты. Большая лоджия. Раздельный санузел. Хорошая шумоизоляция. Окна выходят во двор и на улицу. 
Чистый подъезд, приличные соседи. Множество парковочных мест около дома. 

Все необходимое для комфортного проживания недалеко от дома: продуктовые магазины, школы, детские сады, кафе. 
Расторгуевский парк и зеленые прогулочные зоны в пешей доступности. 

Транспортная доступность. Остановки общественного транспорта рядом с домом. В ближайшее время будет открыта трасса - дублер МКАД.

Один взрослый собственник. Свободная продажа. Помощь в одобрении ипотеки и юридическое сопровождение сделки. Оперативный показ.",,58.3,6.3,108.1
https://vidnoye.cian.ru/sale/flat/304792609/,https://images.cdn-cian.ru/images/2370345242-4.jpg,ЖК «Южная Битца»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, пос. Битца, Южная Битца ЖК, 10",Транспортом,14022871.0,222233.0,3.0,16.0,22.0,63.1,"Максимальные скидки при 100% оплате.
Прямая продажа от застройщика! Семейный жилой район класса Комфорт Плюс
Продаётся 3-к квартира номер 744 общей площадью 63.1 кв.м. на 16-м этаже 22 этажного дома. Отделка Whitebox.

Особенности:
- Квартира доступна к покупке в Trade-In.
- Распашная
- Окно в ванной
- Увеличенное число окон
- Раздельный санузел
- Гостевой санузел
- Гардеробная
- Лоджия

Квартира с предчистовой отделкой (White box). Вам не придётся заниматься черновыми трудоёмкими работами, а чистовую отделку и дизайн сделаете по своему вкусу.

Расположение комплекса: 
Сочетание свободного перемещения по внутреннней территории без машин и ощущения абсолютной безопасности благодаря надежным ограждениям - вот что отличает ЖК Южная Битца. На территории комплекса созданы все условия как для активного образа жизни, так и для спокойного времяпрепровождения. Свободно перемещайтесь по внутренней территории в безбарьерной среде! 
Продуманное зонирование во дворах позволяет отделить тихие зоны для родителей со спящими младенцами и тех, кто хочет почитать на свежем воздухе, от шумных игровых зон. Игровые зоны учитывают возраст детей. Площадки для детей старшего возраста вынесены за пределы дворов. Ощущение уютного дома должно начинаться с подъезда. Мы постарались предусмотреть все нюансы, чтобы наши лифты отвечали самым строгим современным требованиям. А наличие кладовых позволит вам поддерживать идеальный порядок и уют в вашей квартире!

Транспортная доступность:
В 3 км от МКАД в нескольких минутах езды до трех станций метро: Аннино, Бульвар Дмитрия Донского, улица Старокочаловская и станции МЦД2 - жд Бутово. Открылся участок (10й) ЮВХ и вместе с ним съезд на МКАД от ЖК.

Внутренняя инфраструктура:
Для жителей жилого района ""Южная Битца"" доступна развитая инфраструктура близлежащих московских районов Чертаново, Южное, Бирюлёво Западное, Северное Бутово и Южное Бутово. Множество образовательных учреждений, объекты здравоохранения, торговые и развлекательные центры, кинотеатры, кафе, рестораны, парки.
 
Цены указаны с учетом скидки.",,63.1,14.0,222.2
https://vidnoye.cian.ru/sale/flat/302268013/,https://images.cdn-cian.ru/images/kvartira-drozhzhino-yuzhnaya-ulica-2173600328-4.jpg,ЖК «Бутово парк 2»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, Дрожжино рп, улица Южная, 7",Транспортом,9500000.0,179245.0,,,,,"Продается светлая и уютная евро3х-комнатная  квартира в ЖК ""Бутово Парк 2"" с ремонтом. Свободная продажа. Полная сумма в договоре купли-продажи. Один собственник. 
Закрытый внутренний двор с детскими площадками, позволяющий гулять безопасно детям. 
Первые этажи дома сданы под коммерцию (магазины, булочные, салоны красоты, супермаркеты и многое другое). С внешней стороны дома находится магазин Пятерочка, две аптеки, озон, яндекс маркет, кофейня, суши бар. 
Район расположен в 5,5 км к югу от МКАД по Варшавскому шоссе. Выезд на Варшавское и Симферопольское шоссе. Автобусы до: МДЦ Бутово, м. Бульвар Дмитрия Донского, м. Аннино, м. Академика Янгеля, м. Пражская в 10-20 минутах езды. Остановки общественного транспорта есть в каждой части микрорайона. На территории жилого квартала работают три детских сада, школы и поликлиника, есть пешеходный бульвар для отдыха и прогулок. В районе хорошо развита социальная инфраструктура: есть магазины, детские сады, школы и поликлиника. Рядом с микрорайоном — Бутовский лес, где приятно гулять и заниматься спортом в любое время года. Жилой комплекс оснащен детскими и спортивными площадками, местами для отдыха и пикников, зоной для выгула собак.",,nan,9.5,179.2
https://vidnoye.cian.ru/sale/flat/301599831/,https://images.cdn-cian.ru/images/kvartira-vidnoe-svyatoslava-rihtera-ulica-2162353108-4.jpg,ЖК «Видный город»,"Московская область, Видное, м. Бульвар Дмитрия Донского, улица Святослава Рихтера, 2",Транспортом,14000000.0,200000.0,3.0,3.0,9.0,70.0,"Собственник ! продаю квартиру с двумя спальнями и совместной гостиной/кухней. 2 Санузла, полы с подогревом . продается с  мебелью и бытовой техникой )",,70.0,14.0,200.0
https://vidnoye.cian.ru/sale/flat/304792521/,https://images.cdn-cian.ru/images/2370344988-4.jpg,ЖК «Южная Битца»,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, пос. Битца, Южная Битца ЖК, 10",Транспортом,18801513.0,226798.0,3.0,5.0,22.0,82.9,"Максимальные скидки при 100% оплате.
Прямая продажа от застройщика! Семейный жилой район класса Комфорт Плюс
Продаётся 3-к квартира номер 361 общей площадью 82.9 кв.м. на 5-м этаже 22 этажного дома. Чистовая отделка.

Особенности:
- Квартира доступна к покупке в Trade-In.
- Распашная
- Гостевой санузел
- Большая кухня
- Ниша под шкаф
- Гардеробная
- Лоджия

Квартира с чистовой отделкой. Раскройте свою индивидуальность в создании своего уникального проекта, а трудоемкий ремонт мы возьмем на себя! Вы идете в ногу со временем и предпочитаете современные, универсальные дизайнерские решения? Или вы любитель строгой лаконичной классики? Тогда наши интерьеры придутся вам по душе! Выбирайте то, что ближе лично Вам и реализуйте свои задумки вместе с нами!

Расположение комплекса: 
Сочетание свободного перемещения по внутреннней территории без машин и ощущения абсолютной безопасности благодаря надежным ограждениям - вот что отличает ЖК Южная Битца. На территории комплекса созданы все условия как для активного образа жизни, так и для спокойного времяпрепровождения. Свободно перемещайтесь по внутренней территории в безбарьерной среде! 
Продуманное зонирование во дворах позволяет отделить тихие зоны для родителей со спящими младенцами и тех, кто хочет почитать на свежем воздухе, от шумных игровых зон. Игровые зоны учитывают возраст детей. Площадки для детей старшего возраста вынесены за пределы дворов. Ощущение уютного дома должно начинаться с подъезда. Мы постарались предусмотреть все нюансы, чтобы наши лифты отвечали самым строгим современным требованиям. А наличие кладовых позволит вам поддерживать идеальный порядок и уют в вашей квартире!

Транспортная доступность:
В 3 км от МКАД в нескольких минутах езды до трех станций метро: Аннино, Бульвар Дмитрия Донского, улица Старокочаловская и станции МЦД2 - жд Бутово. Открылся участок (10й) ЮВХ и вместе с ним съезд на МКАД от ЖК.

Внутренняя инфраструктура:
Для жителей жилого района ""Южная Битца"" доступна развитая инфраструктура близлежащих московских районов Чертаново, Южное, Бирюлёво Западное, Северное Бутово и Южное Бутово. Множество образовательных учреждений, объекты здравоохранения, торговые и развлекательные центры, кинотеатры, кафе, рестораны, парки.
 
Цены указаны с учетом скидки.",,82.9,18.8,226.8
